event_name,start_date,end_date,event_type,featured,organization_name,organization_url,url_linkedin,url_twitter,url_other,acronym,tags,event_url,image_url,location,region,in_person,virtual,language,code_of_conduct_url,cfp_due_date,hash_tag,cfp_url,sponsors,price_range,price,paid_or_free
Write/Speak/Code 2019,2019-08-16,2019-08-18,Conference,0,Write/Speak/Code,https://www.writespeakcode.com/,https://www.linkedin.com/company/writespeakcode/,https://twitter.com/writespeakcode,https://www.meetup.com/pro/writespeakcode/,,tech,https://www.writespeakcode.com/2019/,,"San Francisco, CA, USA",Canada / USA,yes,no,English,,,,,,,,
Global Diversity CFP Day 2020,2020-01-18,2020-01-18,Conference,0,Global Diversity CFP,https://www.globaldiversitycfpday.com/,None,https://twitter.com/gdcfpday,None,,,https://ti.to/global-diversity-cfp-day-2021/north-america,,,,,,,,,,,,,,
PyTennessee 2020,2020-03-07,2020-03-08,Conference,0,PyTennessee,https://pytennessee.org/,None,https://twitter.com/pytennessee?lang=en,None,,,https://2020.pytennessee.org/,,,,,,,,,,,,,,
Juneteenth 2020,2020-06-19,2020-06-20,Conference,0,"JuneteenthConf, Unl.",https://juneteenthconf.com/,None,https://twitter.com/juneteenthconf,None,,tech,https://2020.juneteenthconf.com/,,Online,Online,No,Yes,English,,,,,,,,
JupyterCon 2020,2020-10-12,2020-10-17,Conference,0,NumFOCUS,https://numfocus.org,None,https://twitter.com/JupyterCon,None,,"Jupyter, python",https://cfp.jupytercon.com/2020/schedule/,,Online,Online,No,Yes,English,,2020-07-02,,,,,,
Global Diversity CFP Day 2021,2021-01-23,2021-01-24,Conference,0,Global Diversity CFP,https://www.globaldiversitycfpday.com/,None,https://twitter.com/gdcfpday,None,,,https://www.globaldiversitycfpday.com/,,,,,,,,,,,,,,
Arab WIC 2021,2021-06-05,2021-06-05,Conference,0,Arabic Women in Computing,https://arabwic.org/,https://www.linkedin.com/company/arabwic/,https://twitter.com/arabwic,https://www.youtube.com/channel/UCYtnj8Q6qTSKUhtnAudpoZw,WIC,,https://arabwic.org/event/arabwic-2021-conference/,,,,,,,,,,,,,,
Juneteenth 2021,2021-06-19,2021-06-19,Conference,0,"JuneteenthConf, Unl.",https://juneteenthconf.com/,None,https://twitter.com/juneteenthconf,None,,tech,https://www.juneteenthconf.com/sessions/,,Online,Online,No,Yes,English,,,,,,,,
PyCon India,2021-09-17,2021-09-20,Conference,0, ,,,,https://www.youtube.com/@PythonIndia,,python,https://in.pycon.org/2021/,,,,,,,,,,,,,,
PyData Global 2021,2021-10-28,2021-10-30,Conference,0,NumFOCUS,https://numfocus.org,https://www.linkedin.com/company/numfocus/,https://twitter.com/PyData,https://www.youtube.com/@PyDataTV,,python,https://pydata.org/global2021/,,Online,Online,No,Yes,English,,,,,,$0,$0,free
