event_name,start_date,end_date,event_type,featured,organization_name,organization_url,url_linkedin,url_twitter,url_other,acronym,tags,event_url,image_url,location,region,in_person,virtual,language,code_of_conduct_url,cfp_due_date,hash_tag,cfp_url,sponsors,price_range,price,paid_or_free
PyConDE & PyData Berlin 2024,2024-04-22,2024-04-24,Conference,1,"NumFOCUS, PSF",https://numfocus.org/,https://www.linkedin.com/company/numfocus/,https://twitter.com/NumFOCUS,,NumFOCUS,Python,https://2024.pycon.de/,https://github.com/data-umbrella/resources/blob/main/events-images/2024/2024-pyconde.png?raw=true,"Berlin, Germany",Europe,Yes,Yes,English,https://2024.pycon.de/code-of-conduct/,2024-01-07,,https://2024.pycon.de/frequently-asked-questions/#cfp,,,,paid
"csv,conf,v8 (2024)",2024-05-29,2024-05-31,Conference,0,"csv,conf,v8",https://csvconf.com/,None,https://twitter.com/csvconference,,,data,https://csvconf.com/,https://github.com/data-umbrella/resources/blob/main/events-images/2024/2024-csvconf.png?raw=true,"Puebla, Mexico",Latin America,Yes,Unknown,English,https://csvconf.com/coc/,2024-01-31,,https://csvconf.com/,,,,paid
AI & Statistics 2024,2024-05-02,2024-05-04,Conference,0,Society for AI and Statistics,https://aistats.org/,None,https://twitter.com/aistats_conf,,AISTATS,"AI, statistics",https://aistats.org/aistats2024/,,"Valencia, Spain",Europe,Yes,No,English,https://aistats.org/aistats2024/code-of-conduct.html,2023-10-16,,https://aistats.org/aistats2024/call-for-papers.html,,,,paid
StanCon 2024,2024-09-09,2024-09-13,Conference,0,Stan,https://mc-stan.org/,None,https://twitter.com/mcmc_stan,,Stan,"statistics, bayesian",https://mc-stan.org/events/stancon2024/,https://mc-stan.org/events/stancon2024/img/Oxford.png,"Oxford, England",Europe,Yes,Unknown,English,None,,,,,,,paid
PyData Seattle 2024,2024-11-01,2024-11-01,Conference,0,NumFOCUS,https://numfocus.org,https://www.linkedin.com/company/numfocus/,https://twitter.com/NumFOCUS?s=20&t=9sXlfAi0KOtgUgEx89_bfg,,NumFOCUS,python,https://www.meetup.com/pydata_seattle/events/292084659/,,"Seattle, WA, USA",Canada / USA,Yes,Unknown,English,,,,,,,,paid
ICLR 2024,2024-05-07,2024-05-11,Conference,0,Int'l Conf on Learning Representations,https://iclr.cc/,https://www.linkedin.com/company/iclr/,https://twitter.com/iclr_conf,,ICLR,"AI, ML, CV",https://iclr.cc,https://iclr.cc/static/core/img/ICLR-logo.svg,"Vienna, Austria",Europe,Yes,Unknown,English,https://iclr.cc/public/CodeOfConduct, ,,,,,,paid
ODSC East 2024,2024-05-23,2024-05-25,Conference,0,Open Data Science,https://odsc.com,https://www.linkedin.com/company/open-data-science/,https://twitter.com/ODSC,,ODS,data-science,https://odsc.com/boston/,https://odsc.com/wp-content/uploads/2022/08/ODSC-logo-1-1.png,"Boston, MA, USA",Canada / USA,Yes,Yes,English,https://odsc.com/code-of-conduct/,,,,,,,paid
2024 Symposium on Data Science & Statistics,2024-06-04,2024-06-07,Conference,0,ASA,https://www.amstat.org,https://www.linkedin.com/company/american-statistical-association---asa/,https://twitter.com/AmstatNews,,SDSS,"statistics, data-science",https://www.amstat.org/meetings/symposium-on-data-science-amp-statistics,https://ww2.amstat.org/meetings/sdss/2023/images/logo.png?v=2023,"Richmond, VA",Canada / USA,Yes,Unknown,English,https://www.amstat.org/meetings/code-of-conduct,,,,,,,paid
NY R Conf 2024,2024-05-16,2024-05-17,Conference,0,NY R,https://rstats.ai/nyr,https://www.linkedin.com/company/lander-analytics/,,,,"Rstats, statistics",https://rstats.ai/nyr,,"New York, NY, USA",Canada / USA,Yes,Yes,English,https://rstats.ai/code-of-conduct,,,,,,,paid
R/Finance 2024,2024-05-17,2024-05-18,Conference,0,,https://www.rinfinance.com/,None,https://twitter.com/rinfinance,,,rstats,https://web.cvent.com/event/406dc106-6cd2-4ab8-af7f-7aa3e2aaa33d/summary,https://images.cvent.com/c3e24d1c950f4c63a259f2464dee7a54/pix/8cf31d04f7014c409b373426f15a1fc8!_!dcfe611ac1ba8e1c54d0cd768d99f6d6.jpg?f=webp,"Chicago, IL, USA",Canada / USA,Yes,No,English,https://www.rinfinance.com/coc/, ,,,,,,paid
Outlier Conf 2024,2024-06-12,2024-06-14,Conference,1,Data Visualization Society,https://www.datavisualizationsociety.org/,https://www.linkedin.com/company/data-visualization-society/,https://twitter.com/OutlierConf,,,dataviz,https://www.outlierconf.com/,https://raw.githubusercontent.com/data-umbrella/resources/main/events-images/2024/2024-outlier.png,"Chicago, IL, USA",Canada / USA,Yes,Yes,English,,,,,,,,paid
COLT 2024 (Conf on Learning Theory),2024-06-30,2024-07-03,Conference,0,Association for Computational Learning,https://learningtheory.org/,None,https://twitter.com/assoccomplearn,,ACL,"AI, ML",https://learningtheory.org/colt2024/,,"Edmonton, Alberta",Canada / USA,Yes,Unknown,English,https://learningtheory.org/colt2023/code-of-conduct.html, , ,,,,,paid
DataConnect Conference 2024,2024-07-11,2024-07-12,Conference,0,WIA,https://www.womeninanalytics.com/,https://www.linkedin.com/company/women-in-analytics-community/,http://www.twitter.com/wia_community,,WIA-DCC,women-focused,https://www.dataconnectconf.com/,https://uploads-ssl.webflow.com/6164cdbceec2a908841609b5/61709899316ac23dda1364a8_columbus%20skyline.jpeg,"Columbus, Ohio, USA",Canada / USA,Yes,Yes,English,"https://www.womeninanalytics.com/code-of-conduct#:~:text=WIA%20is%20dedicated%20to%20providing,of%20participants%20in%20any%20form.", ,,,,$$,$ 75-899,paid
ProductCon 2024,2024-08-01,2024-08-01,Conference,0,Product Scool,https://productschool.com/productcon/,https://www.linkedin.com/school/product-school/,https://twitter.com/@productschool,,,product,https://productschool.com/productcon/online-2024,https://assets.productschool.com/wp-content/uploads/2020/11/03185145/logo_productcon.svg,Online,Online,No,Yes,English,https://productschool.com/code-of-conduct/,,,,,,,free
ICML 2024,2024-07-21,2024-07-27,Conference,0,Int'l Conf on Machine Learning,https://icml.cc/,None,https://twitter.com/icmlconf,,ICML,"AI, ML, CV",https://icml.cc/Conferences/2024,,"Vienna, Austria",Europe,Yes,Yes,English,https://icml.cc/public/CodeOfConduct, ,,,,,,paid
JuliaCon 2024,2024-07-09,2024-07-13,Conference,0,NumFOCUS,https://numfocus.org,https://www.linkedin.com/company/numfocus/,https://twitter.com/NumFOCUS?s=20&t=9sXlfAi0KOtgUgEx89_bfg,,NumFOCUS,julialang,https://juliacon.org/2024/,https://juliacon.org/assets/shared/img/logo_20.svg,"Philips Stadion, Eindhoven, Netherlands",Europe,Yes,No,English,https://juliacon.org/2024/coc/, ,,,,,,paid
JSM 2024,2024-08-03,2024-08-08,Conference,0,ASA,https://www.amstat.org,https://www.linkedin.com/company/american-statistical-association---asa/,https://twitter.com/AmstatNews?s=20&t=xb_aVg7v6V9g2LZXxAYHJg,,JSM,statistics,https://ww2.amstat.org/meetings/jsm/2024/,https://ww2.amstat.org/meetings/jsm/2023/images/logo.png?v=2023,"Portland, OR, USA",Canada / USA,Yes,Unknown,English,https://www.amstat.org/meetings/code-of-conduct, ,,,,,,paid
AutoML Conf 2024,2024-09-09,2024-09-12,Conference,0,,,,,,AutoML,ML,https://2024.automl.cc/,,"Paris, France",Europe,Yes,Unknown,English,https://2024.automl.cc/?page_id=672,,,,,,,paid
Regulatory-Industry Statistics Workshop (ASA Biopharmaceutical),2024-09-25,2024-09-27,Conference,0,ASA,https://www.amstat.org,https://www.linkedin.com/company/american-statistical-association---asa/,https://twitter.com/AmstatNews?s=20&t=xb_aVg7v6V9g2LZXxAYHJg,,JSM,statistics,https://www.amstat.org/meetings/asa-biopharmaceutical-section-regulatory-industry-statistics-workshop,https://ww2.amstat.org/meetings/biop/2023/images/logo.png?v=2023,"Rockville, MD, USA",Canada / USA,Yes,Unknown,English,https://www.amstat.org/meetings/code-of-conduct, ,,,,,,paid
All Things Open 2024,2024-10-27,2024-10-29,Conference,1,All Things Open,https://www.allthingsopen.org/,https://www.linkedin.com/company/all-things-open/,https://twitter.com/AllThingsOpen,,ATO,open source,https://2024.allthingsopen.org/,https://github.com/data-umbrella/resources/blob/main/events-images/2024/2024-ato.png?raw=true,"Raleigh, North Carolina, USA",Canada / USA,Yes,No,English,https://2024.allthingsopen.org/code-of-conduct/,,, ,,,,paid
posit:conf 2024,2024-08-12,2024-08-14,Conference,1,Posit,https://posit.co/,https://www.linkedin.com/company/posit-software/,https://twitter.com/posit_pbc,,,"open source, rstats",https://posit.co/conference/,https://posit.co/wp-content/uploads/2023/09/conf23-hero2-static.png,"Seattle, WA, USA",Canada / USA,Yes,Yes,English,,,,,,,,paid
useR! 2024,2024-07-08,2024-07-11,Conference,0,R Foundation,https://www.r-project.org/foundation/,https://www.linkedin.com/company/user-conf/,https://twitter.com/_useRconf,,,rstats,https://user2024.r-project.org/,https://user2024.r-project.org/img/salzburg-river.jpg,"Salzburg, Austria",Europe,Yes,Yes,English,https://events.linuxfoundation.org/user/attend/code-of-conduct/,,,,,,,paid
SIGKDD 2024 (Knowledge Discovery & Data Mining),2024-08-25,2024-08-29,Conference,0,ACM,https://www.acm.org/, , ,,KDD,ML,https://kdd2024.kdd.org/,https://kdd2024.kdd.org/wp-content/uploads/2024/01/Unknown-scaled.jpeg,"Barcelona, Spain",Europe,Yes,,English,,,,,,,,paid
Grace Hopper Celebration 2024,2024-08-08,2024-08-11,Conference,0,AnitaB.org,http://anitab.org/,https://www.linkedin.com/company/anitab-org/,https://twitter.com/AnitaB_org,,,women-focused,https://ghc.anitab.org, ,"Philadelphia, PA, USA",Canada / USA,Yes,Yes,English,https://ghc.anitab.org/code-of-conduct/,,,$199-1298, ,,,paid
ACM FaCCT 2024,2024-06-03,2024-06-06,Conference,1,ACM,https://www.acm.org/,,https://twitter.com/FAccTConference,,FaaCT,AI ethics,https://facctconference.org, ,"Rio de Janeiro, Brazil",Latin America,Yes,Yes,English,https://facctconference.org/harassment.html, ,, ,,,,paid
PyOhio 2024,2024-07-01,2024-07-02,Conference,0,PyOhio,https://www.pyohio.org,https://www.linkedin.com/company/pyohio/about/,https://twitter.com/pyohio,,,python,https://www.pyohio.org/2024/,https://github.com/data-umbrella/resources/blob/main/events-images/2024/2024-pyohio.png?raw=true,"Cleveland, OH, USA",Canada / USA,Yes,Yes,English,https://www.pyohio.org/2024/about/code-of-conduct,, , , ,,,paid
Indaba 2024,2024-09-01,2024-09-07,Conference,1,Deep Learning Indaba Ltd,https://deeplearningindaba.com/,https://www.linkedin.com/company/deep-learning-indaba/,https://twitter.com/deepindaba,,,DL,https://deeplearningindaba.com/2024/,https://deeplearningindaba.com/2024/wp-content/uploads/sites/16/2023/12/Monument-to-african-renaissance-senegal-africa-sculpture-statue.jpg,"Dakar, Senegal",Africa,Yes,Unknown,English,https://deeplearningindaba.com/about/code-of-conduct/,,,,,,,paid
SciPy 2024,2024-07-08,2024-07-14,Conference,0,NumFOCUS,https://numfocus.org,https://www.linkedin.com/company/numfocus,https://twitter.com/scipyconf,,,"python, open source",https://www.scipy2024.scipy.org/,https://images.squarespace-cdn.com/content/v1/6596dfc539fa52603ef8b8d4/106aeb0b-a78a-456e-a238-4f9553960c7d/Tacoma_Waterfront_300px_e2638db7-92fe-4751-844d-2e47c2047bab.jpg?format=2500w,"Tacoma, WA, USA",Canada / USA,Yes,Unknown,English,, ,#SciPy, , ,,,paid
EuroPython 2024,2024-07-08,2024-07-14,Conference,0,EuroPython Society (EPS),https://www.europython-society.org/coc/,https://www.linkedin.com/company/europython/,https://twitter.com/europython,,,python,https://ep2024.europython.eu/,https://raw.githubusercontent.com/data-umbrella/resources/main/events-images/2024/2024-europython.png,"Prague, Czech Republic",Europe,Yes,Yes,English,https://www.europython-society.org/coc/,,#EuroPython,,,,,paid
RecSys 2024,2024-10-14,2024-10-18,Conference,0,ACM,https://www.acm.org/,,,,,ML,https://recsys.acm.org/recsys24/,https://recsys.acm.org/wp-content/uploads/2023/11/RecSysBanner_1000_180.png,"Bari, Italy",Europe,Yes,Unknown,English,https://www.acm.org/special-interest-groups/volunteer-resources/officers-manual/policy-against-discrimination-and-harassment, ,,,,,,paid
CVPR 2024,2024-06-17,2024-06-21,Conference,0,IEEE,https://www.ieee.org/,https://www.linkedin.com/company/ieee/,https://twitter.com/IEEEorg,,,"ML, CV",https://cvpr.thecvf.com/Conferences/2024,https://media.icml.cc/Conferences/CVPR2024/img/homepage_image.jpg,"Seattle, WA, USA",Canada / USA,Yes,Unknown,English,https://cvpr.thecvf.com/Conferences/2024/CodeOfConduct, ,,,,,,paid
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Code Experience,2024-10-22,2024-10-24,Conference,0,Eclipse Foundation,https://www.eclipse.org/org/,https://www.linkedin.com/company/eclipse-foundation,https://x.com/EclipseFdn,,OCX24,,Open Code Experience 2024 | Oct 22-24 | OCX 24 | The Eclipse Foundation (opencode-x.org),https://opencode-x.org/public/images/ocx-logo.png,"Mainz, Germany",Europe,Yes,No,English,,,#OCX24,,,,,Paid
Community Over Code,2024-10-07,2024-10-10,Conference,0,Apache Software Foundation,https://www.apachecon.com,https://www.linkedin.com/showcase/35584119/,https://twitter.com/ApacheCon,http://s.apache.org/apachecon-slack,,,"https://communityovercode.org/#:~:text=Denver%2C%20Colorado%2C,Tech%2C%20and%20many%20other%20topics.",https://communityovercode.org/wp-content/uploads/2023/10/community_over_code_logotype_720.png?w=719,"Denver, Colorado - USA",USA,Yes,No,English,http://apache.org/foundation/policies/conduct,,,,,,,Paid
Open Source Summit Europe,2024-09-16,2024-09-20,Conference,,Linux Foundation,https://www.linuxfoundation.org/,https://www.linkedin.com/company/the-linux-foundation/,https://twitter.com/linuxfoundationn,https://www.youtube.com/user/TheLinuxFoundation,OSSummit,,https://events.linuxfoundation.org/open-source-summit-europe/,,"Vienna, Austria",Europe,Yes,Yes,English,https://events.linuxfoundation.org/open-source-summit-europe/attend/code-of-conduct/,,#OSSummit,,,,,Paid
Open Source Summit North America,2024-04-16,2024-04-18,Conference,,Linux Foundation,https://www.linuxfoundation.org/,https://www.linkedin.com/company/the-linux-foundation/,https://twitter.com/linuxfoundationn,https://www.youtube.com/user/TheLinuxFoundation,OSSummit,,https://events.linuxfoundation.org/open-source-summit-north-america//,,"Seattle, Washington",USA,Yes,Yes,English,https://events.linuxfoundation.org/open-source-summit-europe/attend/code-of-conduct/,,#OSSummit,,,,,Paid
DjangoCon US,2024-09-22,2024-09-27,Conference,,,https://2024.djangocon.us/,,https://twitter.com/djangocon,https://github.com/djangocon/,,,https://2024.djangocon.us/,https://2024.djangocon.us/static/img/logo.svg,"Durham, North Carolina",USA,Yes,Uknown,English,https://github.com/djangocon/2024.djangocon.us/blob/main/CODE_OF_CONDUCT.md,,,,,,,Paid
