event_name,start_date,end_date,event_type,featured,organization_name,organization_url,url_linkedin,url_twitter,url_other,acronym,tags,event_url,image_url,location,region,in_person,virtual,language,code_of_conduct_url,cfp_due_date,hash_tag,cfp_url,sponsors,price_range,price,paid_or_free
Conference on Applications of Computer Vision,2024-01-03,2024-01-07,Conference,0,IEEE/CVF,https://www.ieee.org/,https://www.linkedin.com/company/ieee/,https://twitter.com/IEEEorg?s=20&t=uqhQPepiWo_te3Irv-Yywg,,WACV,computer vision,https://wacv2024.thecvf.com/,https://wacv2024.thecvf.com/wp-content/uploads/2023/09/WACV-Logo_2024-1024x243.png,"Waikoloa, Hawaii, USA",Canada / USA,Yes,No,English,https://wacv2024.thecvf.com/dei-and-code-of-conduct/, ,,,,,,paid
FOSDEM 2024,2024-02-03,2024-02-03,Conference,1,FOSDEM,https://fosdem.org,,https://twitter.com/fosdem,https://fosstodon.org/@fosdem,,open source,https://fosdem.org/2024/,https://github.com/data-umbrella/resources/blob/main/events-images/2024/2024-fosdem.png?raw=true,"Brussels, Belgium",Europe,Yes,Unknown,English,https://fosdem.org/2024/practical/conduct/,,,,,,,paid
Conf on Statistical Practice,2024-02-27,2024-02-29,Conference,0,ASA,https://www.amstat.org,https://www.linkedin.com/company/american-statistical-association---asa/,https://twitter.com/AmstatNews?s=20&t=xb_aVg7v6V9g2LZXxAYHJg,,CSP,statistics,https://ww2.amstat.org/meetings/csp/2024/index.cfm,https://ww2.amstat.org/meetings/csp/2024/images/logo.png,"New Orleans, USA",Canada / USA,Yes,No,English,https://www.amstat.org/meetings/code-of-conduct, ,,,,,,paid
Pycon Namibia,2024-03-04,2024-03-07,Conference,0,PSF,https://na.pycon.org/,https://www.linkedin.com/in/pycon-namibia-a4317b22a/?originalSubdomain=na,https://twitter.com/ThePSF?s=20&t=m6_uFeCsrTPmWNLUyl7Rzg,,PSF,python,https://na.pycon.org/,https://na.pycon.org/media/filer_public_thumbnails/filer_public/e6/af/e6afdbb7-c919-40ec-b3e6-c31ee998495d/desktop.jpeg__1170x0_q85_subsampling-2_upscale.jpg,"Windhoek, Namibia",Africa,Yes,Unknown,English,https://na.pycon.org/code-of-conduct/,2024-01-21,,https://na.pycon.org/call-proposals/,,,,paid
GeoPython 2024,2024-05-27,2024-05-29,Conference,0,,https://2024.geopython.net/,None,https://twitter.com/GeoPythonConf?s=20&t=QHxEznDS3MdWNfkz3hqppA,,,"GIS, python, ML",https://2024.geopython.net/,https://github.com/data-umbrella/resources/blob/main/events-images/2024/2024-geopython.png?raw=true,"Basel, Switzerland",Europe,Yes,Yes,English,https://2024.geopython.net/,2024-01-15,,https://2024.geopython.net/,,,,paid
WiDS 2024,2024-03-08,2024-03-08,Conference,0,Women in Data Science,https://www.widsconference.org/,https://www.linkedin.com/company/women-in-data-science-wids-at-stanford-university/,https://twitter.com/WiDS_Worldwide,,WiDS,women-focused,https://www.widsconference.org/,https://www.widsworldwide.org/wp-content/uploads/2023/05/WiDS_logo_nav.png,"Palo Alto, Ca",Canada / USA,Yes,Yes,English,,,,,,,,paid
SXSW 2024,2024-03-08,2024-03-16,Conference,0,South by Southwest,https://www.sxsw.com/,https://www.linkedin.com/company/sxsw/,https://twitter.com/sxsw,,SXSW,"tech, music",https://www.sxsw.com/,,"Austin, TX, USA",Canada / USA,Yes,No,English,https://www.sxsw.com/attend/code-of-conduct/,,,,,,,paid
SIGCSE 2024 (Computer Science Education),2024-03-20,2024-03-23,Conference,0,ACM,https://www.acm.org/,https://www.linkedin.com/company/association-for-computing-machinery/,https://twitter.com/theofficialacm,,ACM,computer science,https://sigcse2024.sigcse.org/,,"Portland, Oregon, USA",Canada / USA,Yes,Yes,English,,,,,,,,paid
PyCascades 2024,2024-04-05,2024-04-08,Conference,0,PyCascades,https://2024.pycascades.com/,https://www.linkedin.com/company/pycascades/,https://twitter.com/pycascades,,,python,https://2024.pycascades.com/,,"Seattle, WA, USA",Canada / USA,Yes,Yes,English,https://2024.pycascades.com/about/code-of-conduct/,,,,,,,paid
DataConnect West Conference,2024-05-06,2024-05-06,Conference,0,Women in Analytics,https://www.womeninanalytics.com/,https://www.linkedin.com/company/women-in-analytics-community/,https://twitter.com/wia_community,,WIA-DCC,women-focused,https://www.dataconnectconf.com/dccwest,https://assets-global.website-files.com/6164cdbceec2a908841609b5/6351dd8d26d362758673d125_DCCWest%20Logo-p-500.png,"Portland, OR, USA",Canada / USA,Yes,Unknown,English,https://www.womeninanalytics.com/code-of-conduct,,,,,,,paid
WiCyS 2024,2024-04-11,2024-04-13,Conference,0,WiCyS,https://www.wicys.org/,https://www.linkedin.com/company/women-in-cybersecurity-wicys/,https://twitter.com/WiCySorg,,,security,https://www.wicys.org/events/wicys-2024/,,"Nashville, TN, USA",Canada / USA,Yes,No,English,https://www.wicys.org/code-of-conduct/,,,,,,,paid
Write the Docs 2024,2024-04-14,2024-04-16,Conference,0,Write the Docs,,,,,,docs,https://www.writethedocs.org/conf/portland/2024/,,"Portland, OR, USA",Canada / USA,Yes,Unknown,English,,,,,,,,paid
Postgres Conference 2024,2024-04-18,2024-04-19,Conference,1,Postgres,,,,,,database,https://postgresconf.org/,https://raw.githubusercontent.com/data-umbrella/resources/main/events-images/2024/2024-postgres.png,"San Jose, CA, USA",Canada / USA,Yes,Unknown,English,,,,,,,,paid
PyTexas 2024,2024-04-19,2024-04-21,Conference,0,PyTexas,https://www.pytexas.org/,None,https://twitter.com/pytexas,,,python,https://www.pytexas.org/2024/,https://www.pytexas.org/2024/assets/images/2024_wdots.svg,"Austin, TX, USA",Canada / USA,Yes,Unknown,English,https://www.pytexas.org/2024/about/#code-of-conduct,2024-01-14,,https://pretalx.com/pytexas-2024/,,,,paid
PyCon US 2024,2024-05-15,2024-05-23,Conference,0,Python Software Foundation,https://www.python.org/psf/,https://www.linkedin.com/company/thepsf/,https://twitter.com/ThePSF,,PSF,python,https://us.pycon.org/2024/,https://us.pycon.org/2024/static/images/pycon24-wordmark-purple.293b6a59b448.svg,"Pittsburgh, Pennsylvania, USA",Canada / USA,Yes,Yes,"English,Spanish",https://policies.python.org/us.pycon.org/code-of-conduct/,2023-12-18,,https://us.pycon.org/2024/speaking/guidelines/,,,,paid
