event_name,start_date,end_date,event_type,featured,organization_name,organization_url,acronym,tags,event_url,image_url,location,region,in_person,virtual,language,code_of_conduct_url,cfp_due_date,hash_tag,cfp_url,sponsors,price_range,price,paid_or_free
Write/Speak/Code 2019,2019-08-16,2019-08-18,Conference,0,Write/Speak/Code,,,tech,https://www.writespeakcode.com/2019/,,"San Francisco, CA, USA",Canada / USA,yes,no,English,,,,,,,,
Global Diversity CFP Day 2020,2020-01-18,2020-01-18,Conference,0,Global Diversity CFP,https://www.globaldiversitycfpday.com/,,,https://ti.to/global-diversity-cfp-day-2021/north-america,,,,,,,,,,,,,,
PyTennessee 2020,2020-03-07,2020-03-08,Conference,0,,,,,https://2020.pytennessee.org/,,,,,,,,,,,,,,
Juneteenth 2020,2020-06-19,2020-06-20,Conference,0,"JuneteenthConf, Unl.",https://juneteenthconf.com/,,tech,https://2020.juneteenthconf.com/,,Online,Online,No,Yes,English,,,,,,,,
JupyterCon 2020,2020-10-12,2020-10-17,Conference,0,NumFOCUS,https://numfocus.org,,"Jupyter, python",https://cfp.jupytercon.com/2020/schedule/,,Online,Online,No,Yes,English,,2020-07-02,,,,,,
Global Diversity CFP Day 2021,2021-01-23,2021-01-24,Conference,0,Global Diversity CFP,https://www.globaldiversitycfpday.com/,,,https://www.globaldiversitycfpday.com/,,,,,,,,,,,,,,
Arab WIC 2021,2021-06-05,2021-06-05,Conference,0,Arabic Women in Computing,https://arabwic.org/,WIC,,https://arabwic.org/event/arabwic-2021-conference/,,,,,,,,,,,,,,
Juneteenth 2021,2021-06-19,2021-06-19,Conference,0,"JuneteenthConf, Unl.",https://juneteenthconf.com/,,tech,https://www.juneteenthconf.com/sessions/,,Online,Online,No,Yes,English,,,,,,,,
PyCon India,2021-09-17,2021-09-20,Conference,0,PyCon,,,python,https://in.pycon.org/2021/,,,,,,,,,,,,,,
PyData Global 2021,2021-10-28,2021-10-30,Conference,0,NumFOCUS,https://numfocus.org,,python,https://pydata.org/global2021/,,Online,Online,No,Yes,English,,,,,,$0,$0,free
Python Pizza 2021,2021-12-11,2021-12-11,Conference,0,Hamburg Python Pizza,,,python,https://hamburg.python.pizza/,,,,,,,,,,,,,,
PyCascades 2022,2022-02-05,2022-02-06,Conference,0,,,,python,https://2022.pycascades.com,,Online,Online,No,Yes,English,https://2022.pycascades.com/about/code-of-conduct/,,,,,,,
ESMAR,2022-02-21,2022-02-24,Conference,0,Evidence Synthesis Hackathon,https://www.eshackathon.org,,research,https://esmarconf.github.io/events.html,,,,,,,,,,,,,,
VS Code Day 2022,2022-03-03,2022-03-03,Conference,0,Microsoft,,,,https://code.visualstudio.com/vscode-day/,,Online,Online,No,Yes,English,,,,,,,,
WiDS 2022,2022-03-07,2022-03-07,Conference,0,Women in Data Science,https://www.widsconference.org/,WiDS,women-focused,https://www.widsconference.org/videos-2022.html,,"Palo Alto, Ca",Canada / USA,Yes,Yes,English,,,,,,,,
Girl Geek Elevate 2022,2022-03-08,2022-03-08,Conference,0,,,,,https://girlgeek.io/conferences/elevate2022/,,,,,,,,,,,,,,
PyTexas 2022,2022-03-26,2022-03-27,Conference,0,PyTexas,https://www.pytexas.org/,,python,https://ti.to/pytexas/pytexas-2022/en,,"Austin, TX, USA",Canada / USA,Yes,,English,https://www.pytexas.org/about/code-of-conduct,,,https://www.pytexas.org/speaking,https://www.pytexas.org/sponsors/prospectus,,,
AI & Statistics 2022,2022-03-28,2022-03-30,Conference,0,Society for AI and Statistics,https://aistats.org/,AISTATS,"AI, statistics",http://aistats.org/aistats2022/,,Online,Online,No,Yes,English,https://aistats.org/aistats2022/code-conduct.html,,,,,,,
Postgres Conf 2022,2022-04-07,2022-04-08,Conference,0,,https://postgresconf.org/,,database,https://postgresconf.org/conferences/SV2022,,"San Jose, CA, USA",Canada / USA,Yes,Unknown,English,,,,,,,,
PyCon DE & PyData Berlin 2022,2022-04-11,2022-04-13,Conference,0,,,,python,https://2022.pycon.de,,"Berlin, Germany",Europe,Yes,Yes,English,,,,,,,,
ODSC East 2022,2022-04-19,2022-04-23,Conference,0,Open Data Science,,,python,https://odsc.com/boston/,,"Boston, MA, USA",Canada / USA,Yes,Unknown,,,,,,,,,
ICLR 2022: International Conference on Learning Representations,2022-04-25,2022-04-29,Conference,0,,,ICLR,,https://iclr.cc/Conferences/2022,,Online,Online,No,Yes,,,,,,,,,
Wiki Workshop,2022-04-25,2022-04-25,Conference,0,Wikimedia,,,,https://wikiworkshop.org/2022/,,Online,Online,No,Yes,,,,,,,,,
PyCon US 2022,2022-04-27,2022-05-03,Conference,0,Python Software Foundation,https://www.python.org/psf/,,python,https://us.pycon.org/2022/,,"Salt Lake City, UT, USA",Canada / USA,Yes,Yes,"English,Spanish",,,,,,,,
WWC Connect 2022,2022-05-26,2022-05-26,Conference,0,Women Who Code,https://www.womenwhocode.com/,WWC,women-focused,https://hopin.com/events/connect-recharge-2022/registration,,Online,Online,No,Yes,English,,,,,,,,
GraphConnect 2022,2022-06-06,2022-06-08,Conference,0,Neo4j,https://neo4j.com/,,graphs,https://neo4j.com/event/graphconnect-2022/,,"Austin, TX, USA",Canada / USA,Yes,Unknown,English,,,,,,,,
ODSC Europe 2022,2022-06-15,2022-06-16,Conference,0,Open Data Science,,,,https://odsc.com/europe/,,"London, UK",Europe,Yes,,,,,,,,,,
useR! 2022,2022-06-20,2022-06-23,Conference,0,R Foundation,https://www.r-project.org/foundation/,,rstats,https://user2022.r-project.org,,Online,Online,No,Yes,,,,,,,,,
ACM FaCCT 2022,2022-06-21,2022-06-24,Conference,0,ACM,https://www.acm.org/,FaaCT,AI ethics,https://facctconference.org,,South Korea,Asia,Yes,Yes,English,,,,,,,,
ISBA World Meeting,2022-06-26,2022-07-01,Conference,0,ISBA,https://isbawebmaster.github.io/ISBA2022/,ISBA,,https://isbawebmaster.github.io/ISBA2022/,,"Montreal, Quebec, Canada",Canada / USA,Yes,,,,,,,,,,
Wikimania,2022-07-01,2022-07-02,Conference,0,Wikimedia,,,,https://meta.wikimedia.org/wiki/Celtic_Knot_Conference_2022/Knot_together,,Online,Online,No,Yes,,,,,,,,,
COLT 2022 (Conf on Learning Theory),2022-07-02,2022-07-05,Conference,0,Association for Computational Learning,https://learningtheory.org/,ACL,,https://learningtheory.org/colt2022/,,"London, UK",Europe,Yes,Yes,English,https://learningtheory.org/colt2022/code-of-conduct.html,,#COLT2022,,,,,
PyCon Colombia 2022,2022-07-09,2022-07-10,Conference,,,,,,https://2022.pycon.co,https://2022.pycon.co/img/tickets/background-intro-tickets-regular.png,,Online,No,Yes,"Spanish,English",,,,,,,,
Genetic and Evolutionary Computation Conference,2022-07-09,2022-07-13,Conference,0,ACM SIGEVO,,GECCO,,https://gecco-2022.sigevo.org/HomePage,,"Boston, MA, USA",Canada / USA,Yes,Yes,,,,,,,,,
North American Chapter of the Association for Computational Linguistics,2022-07-10,2022-07-15,Conference,0,ACL,,NAACL,,https://2022.naacl.org,,"Seattle, WA, USA",Canada / USA,Yes,Yes,,,2022-09-12,,,,,,
SciPy 2022,2022-07-11,2022-07-17,Conference,0,Enthought,https://www.enthought.com/,,"python, open source",https://www.scipy2022.scipy.org,,"Austin, Texas, USA",Canada / USA,Yes,Yes,English,https://www.scipy2022.scipy.org/code-of-conduct,,#SciPy,,,,,
EuroPython 2022,2022-07-11,2022-07-17,Conference,0,EuroPython Society (EPS),https://www.europython-society.org/coc/,,python,https://ep2022.europython.eu/,,"Dublin, Ireland",Europe,Yes,Yes,English,https://www.europython-society.org/coc/,,,,,,,
ICML 2022,2022-07-17,2022-07-23,Conference,0,Int'l Conf on Machine Learning,https://icml.cc/,ICML,"AI, ML, CV",https://icml.cc/Conferences/2022,,"Baltimore, MD, USA",Canada / USA,Yes,Yes,English,https://icml.cc/public/CodeOfConduct,,,,,,,
